"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"1817","7 Series",2019,47980,"Automatic",339,"Petrol",145,34.5,3
"1818","1 Series",2018,18480,"Semi-Auto",17402,"Petrol",145,47.9,2
"1819","3 Series",2019,27280,"Semi-Auto",7311,"Petrol",145,42.2,2
"1820","X1",2019,26280,"Semi-Auto",3646,"Petrol",145,48.7,2
"1821","2 Series",2019,18980,"Manual",5500,"Petrol",145,42.8,1.5
"1822","X3",2019,35480,"Semi-Auto",9000,"Diesel",145,54.3,2
"1823","1 Series",2019,17250,"Manual",6824,"Petrol",145,53.3,1.5
"1824","1 Series",2019,17250,"Manual",4028,"Petrol",145,53.3,1.5
"1825","1 Series",2019,17250,"Manual",4122,"Petrol",145,53.3,1.5
"1826","1 Series",2019,17250,"Manual",11699,"Petrol",145,53.3,1.5
"1827","3 Series",2019,25780,"Semi-Auto",7004,"Petrol",145,45.6,2
"1828","5 Series",2019,26480,"Semi-Auto",5130,"Diesel",145,65.7,2
"1829","2 Series",2019,18980,"Semi-Auto",5992,"Petrol",145,50.4,2
"1830","3 Series",2019,40980,"Semi-Auto",6250,"Diesel",145,43.5,3
"1831","4 Series",2019,25780,"Semi-Auto",9326,"Diesel",145,65.7,2
"1832","4 Series",2019,25480,"Semi-Auto",8042,"Diesel",145,65.7,2
"1833","3 Series",2017,19480,"Semi-Auto",17610,"Petrol",145,48.7,2
"1834","X3",2019,30980,"Automatic",6332,"Diesel",145,54.3,2
"1835","1 Series",2016,11980,"Automatic",25204,"Petrol",30,58.9,1.5
"1836","X1",2017,17980,"Semi-Auto",53850,"Diesel",150,57.6,2
"1837","2 Series",2018,16980,"Manual",19853,"Diesel",150,64.2,2
"1838","3 Series",2020,39950,"Semi-Auto",1204,"Petrol",150,33.6,3
"1839","4 Series",2016,15980,"Semi-Auto",66037,"Diesel",30,65.7,2
"1840","X7",2019,74480,"Automatic",7278,"Diesel",145,31.4,3
"1841","X2",2019,28480,"Semi-Auto",3282,"Petrol",145,39.8,2
"1842","2 Series",2019,25780,"Semi-Auto",4418,"Diesel",150,48.7,2
"1843","X1",2019,27280,"Automatic",5231,"Petrol",145,48.7,2
"1844","3 Series",2016,18980,"Semi-Auto",29902,"Diesel",145,53.3,3
"1845","X3",2017,29980,"Semi-Auto",25101,"Diesel",150,47.9,3
"1846","X1",2020,29970,"Semi-Auto",1241,"Diesel",145,60.1,2
"1847","1 Series",2020,28790,"Semi-Auto",953,"Diesel",145,51.4,2
"1848","1 Series",2019,24280,"Manual",1947,"Petrol",145,41.5,1.5
"1849","4 Series",2017,20480,"Semi-Auto",26814,"Diesel",145,55.4,3
"1850","1 Series",2016,14880,"Manual",19882,"Diesel",30,65.7,2
"1851","4 Series",2015,15480,"Automatic",50145,"Petrol",200,43.5,2
"1852","4 Series",2016,22480,"Automatic",25742,"Diesel",145,55.4,3
"1853","1 Series",2017,15280,"Automatic",14709,"Diesel",145,72.4,1.5
"1854","4 Series",2019,28170,"Semi-Auto",9647,"Diesel",145,58.9,2
"1855","5 Series",2017,22322,"Semi-Auto",42295,"Diesel",145,60.1,2
"1856","1 Series",2019,21670,"Semi-Auto",7065,"Petrol",145,42.8,1.5
"1857","1 Series",2013,11200,"Semi-Auto",10239,"Petrol",145,48.7,1.6
"1858","X1",2017,20092,"Semi-Auto",25610,"Petrol",160,44.8,2
"1859","2 Series",2019,20190,"Manual",4648,"Petrol",145,42.8,1.5
"1860","3 Series",2019,32790,"Automatic",3750,"Diesel",145,52.3,2
"1861","Z4",2019,32970,"Automatic",467,"Petrol",145,38.7,2
"1862","2 Series",2019,21205,"Semi-Auto",9148,"Petrol",145,50.4,1.5
"1863","X2",2019,29325,"Semi-Auto",8859,"Diesel",145,50.4,2
"1864","X1",2017,19832,"Semi-Auto",15242,"Diesel",145,57.6,2
"1865","X5",2017,36980,"Automatic",18231,"Diesel",145,42.8,3
"1866","X1",2015,14995,"Manual",39000,"Diesel",125,58.9,2
"1867","3 Series",2014,9698,"Semi-Auto",62121,"Diesel",125,60.1,2
"1868","X1",2017,17998,"Semi-Auto",41604,"Diesel",150,55.4,2
"1869","1 Series",2017,20498,"Semi-Auto",29319,"Petrol",200,39.8,3
"1870","X1",2017,22698,"Automatic",3209,"Petrol",160,44.8,2
